City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Port Macquarie,AU,-31.4333,152.9167,65.89,88,96,4.5,overcast clouds
238,San Patricio,US,28.017,-97.5169,76.87,96,3,7.38,clear sky
239,Hlotse,LS,-28.8718,28.045,66.31,27,0,3.02,clear sky
240,Maceio,BR,-9.6658,-35.7353,78.24,88,20,2.3,few clouds
241,San Vicente,AR,-26.6167,-54.1333,47.17,82,50,4.41,scattered clouds
242,Semnan,IR,35.5729,53.3971,89.44,7,20,2.3,few clouds
243,Marsa Matruh,EG,31.3525,27.2453,73.6,64,0,11.5,clear sky
244,Fort Nelson,CA,58.8053,-122.7002,49.59,57,75,6.91,broken clouds
245,Tautira,PF,-17.7333,-149.15,80.37,74,17,17.49,light rain
246,Rochester,US,43.1548,-77.6156,63.72,90,100,3.44,overcast clouds
247,Airai,TL,-8.9266,125.4092,60.48,92,39,2.08,scattered clouds
248,Ballina,AU,-28.8667,153.5667,71.78,94,47,2.75,light rain
249,Provideniya,RU,64.3833,-173.3,30.87,72,85,2.39,overcast clouds
250,Beatrice,US,40.2681,-96.747,53.28,93,0,0.0,clear sky
251,Krasnoselkup,RU,65.7,82.4667,61.21,56,99,5.46,overcast clouds
252,Pangody,RU,65.85,74.4859,60.28,57,95,12.03,overcast clouds
253,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,59,61,15.37,broken clouds
254,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,59,20,20.49,few clouds
255,Dori,BF,14.0354,-0.0345,102.31,24,47,7.18,scattered clouds
256,Tanga,TZ,-5.0667,39.1,83.84,60,5,14.9,clear sky
257,Aktau,KZ,43.65,51.2,66.78,53,100,23.67,overcast clouds
258,Ostrovnoy,RU,68.0531,39.5131,37.89,77,97,13.11,overcast clouds
259,Naze,JP,28.3667,129.4833,59.92,89,100,11.63,light rain
260,Caravelas,BR,-17.7125,-39.2481,79.38,72,62,6.13,broken clouds
261,Roma,US,43.2128,-75.4557,64.96,93,0,6.91,clear sky
262,Shimoda,JP,34.6667,138.95,58.1,88,100,9.73,overcast clouds
263,Chara,RU,56.9064,118.2631,36.77,90,86,4.09,overcast clouds
264,Shirokiy,RU,49.758,129.523,44.89,36,65,7.36,broken clouds
265,Ribeira Grande,PT,38.5167,-28.7,61.2,55,40,19.57,scattered clouds
266,Touros,BR,-5.1989,-35.4608,81.93,78,69,12.3,broken clouds
267,Bambous Virieux,MU,-20.3428,57.7575,80.22,69,75,13.8,light rain
268,Maku,IR,39.2911,44.4521,57.81,62,75,21.85,broken clouds
269,George Town,MY,5.4112,100.3354,80.53,88,40,5.75,very heavy rain
270,Kununurra,AU,-15.7667,128.7333,75.18,64,0,3.44,clear sky
271,Calderitas,MX,18.55,-88.25,75.63,84,4,4.52,clear sky
272,Moron,AR,-34.6534,-58.6198,51.96,93,94,13.11,overcast clouds
273,Mastic Beach,US,40.7668,-72.8521,65.21,94,20,5.99,few clouds
274,Sisimiut,GL,66.9395,-53.6735,29.3,52,7,3.53,clear sky
275,Kahului,US,20.8947,-156.47,72.84,73,0,6.91,clear sky
276,Huarmey,PE,-10.0681,-78.1522,63.72,87,92,7.74,overcast clouds
277,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,82.6,57,59,13.18,broken clouds
278,Puerto Escondido,MX,15.85,-97.0667,77.83,78,0,6.91,clear sky
279,Pangnirtung,CA,66.1451,-65.7125,25.97,75,14,1.59,few clouds
280,Hammerfest,NO,70.6634,23.6821,36.05,80,75,9.22,light intensity shower rain
281,Flinders,AU,-34.5833,150.8552,63.18,68,1,7.0,clear sky
282,Lahij,YE,13.1667,44.5833,99.07,16,0,18.37,clear sky
283,Eureka,US,40.8021,-124.1637,56.68,76,100,5.01,overcast clouds
284,Hakui,JP,36.8833,136.7833,60.94,69,100,2.21,overcast clouds
285,College,US,64.8569,-147.8028,38.59,91,100,6.91,moderate rain
286,Staryy Nadym,RU,65.6118,72.6842,61.66,48,89,9.8,overcast clouds
287,Duluth,US,46.7833,-92.1066,51.28,71,0,12.66,clear sky
288,Borba,BR,-4.3878,-59.5939,73.63,100,100,0.47,moderate rain
289,Sychevka,RU,55.8252,34.2736,50.9,63,62,15.28,light rain
290,Pasni,PK,25.2631,63.471,87.69,54,0,23.35,clear sky
291,Kieta,PG,-6.2167,155.6333,78.82,83,47,2.8,light rain
292,Werda,BW,-25.2667,23.2833,77.04,32,24,10.25,few clouds
293,Cockburn Town,TC,21.4612,-71.1419,79.2,84,100,17.76,overcast clouds
294,Saint-Pierre,RE,-21.3393,55.4781,76.68,73,75,27.63,broken clouds
295,Sola,VU,-13.8833,167.55,80.51,76,100,16.58,overcast clouds
296,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.73,79,82,8.01,broken clouds
297,Fomboni,KM,-12.28,43.7425,81.41,70,14,16.06,few clouds
298,Chifeng,CN,42.2683,118.9636,62.71,21,79,7.9,broken clouds
299,Singkang,MY,2.1006,102.7994,75.96,92,100,5.61,overcast clouds
