City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Praya,CV,2022-05-16 02:21:06,14.9215,-23.5087,72.25,82,96,14.09
272,Tucuman,AR,2022-05-16 02:21:27,-26.8241,-65.2226,50.0,93,100,2.3
273,Surin,TH,2022-05-16 02:21:27,14.8818,103.4936,82.78,67,100,5.66
274,San Quintin,MX,2022-05-16 02:17:46,30.4833,-115.95,62.67,82,0,11.23
275,Farafangana,MG,2022-05-16 02:21:28,-22.8167,47.8333,67.33,89,76,2.75
276,Faanui,PF,2022-05-16 02:21:28,-16.4833,-151.75,80.78,72,23,8.63
277,Matamoros,MX,2022-05-16 02:21:28,25.5333,-103.25,93.31,9,40,5.75
278,Sulina,RO,2022-05-16 02:21:29,45.1559,29.6536,58.91,91,58,2.55
279,Naantali,FI,2022-05-16 02:21:29,60.4674,22.0243,43.43,65,0,8.05
280,Tazovskiy,RU,2022-05-16 02:21:30,67.4667,78.7,41.04,95,100,4.83
281,Alofi,NU,2022-05-16 02:21:30,-19.0595,-169.9187,78.69,61,16,14.97
282,Burns Lake,CA,2022-05-16 02:21:31,54.2331,-125.7533,51.22,86,100,7.56
283,Dabat,ET,2022-05-16 02:21:31,12.9842,37.765,59.77,52,5,2.44
284,Tuatapere,NZ,2022-05-16 02:21:32,-46.1333,167.6833,60.15,57,4,4.68
285,Sansimion,RO,2022-05-16 02:21:32,46.25,25.8833,47.3,94,3,2.46
286,Maraa,BR,2022-05-16 02:21:33,-1.8333,-65.3667,74.79,98,100,2.15
287,Lagoa,PT,2022-05-16 02:20:51,39.05,-27.9833,56.73,83,1,53.6
288,Otradnoye,RU,2022-05-16 02:21:33,59.7775,30.8181,47.03,92,100,7.49
289,Viesca,MX,2022-05-16 02:21:33,25.35,-102.8,87.62,10,0,10.49
290,Skjervoy,NO,2022-05-16 02:21:34,70.0311,20.9714,37.4,99,100,15.79
291,Mehamn,NO,2022-05-16 02:19:24,71.0357,27.8492,37.31,85,100,10.78
292,Madaoua,NE,2022-05-16 02:21:35,14.073,5.96,83.71,16,23,9.44
293,Sirajganj,BD,2022-05-16 02:21:35,24.45,89.7167,85.71,78,80,20.49
294,Sioux Lookout,CA,2022-05-16 02:16:37,50.1001,-91.917,42.87,75,100,9.22
